City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rock sound,37,AU,1612471885,85,-22.0016,148.0466,73.2,7.94
rock sound,90,GL,1612471885,86,65.6145,-37.6368,26.6,23.02
rock sound,15,JP,1612471885,69,28.3667,129.4833,55.06,3.49
rock sound,27,AO,1612471885,87,-11.2061,13.8437,76.93,8.25
rock sound,98,KZ,1612471885,98,53.88,67.4158,26.53,9.06
rock sound,40,US,1612471885,53,20.8783,-156.6825,71.6,4.61
rock sound,100,GN,1612471885,38,9.1848,-10.0999,80.26,1.95
rock sound,100,CN,1612471886,91,29.8315,115.5774,48.87,1.45
rock sound,100,CN,1612471886,91,49.1833,125.2167,-3.14,6.26
rock sound,40,AU,1612471886,31,-28.7667,114.6,75.2,24.16
rock sound,26,RU,1612471886,75,68.0546,166.4372,-21.33,10.87
rock sound,0,CN,1612471748,86,42.8,93.45,25.63,0.63
rock sound,100,TL,1612471886,100,-8.9266,125.4092,60.98,3.18
rock sound,20,JP,1612471640,49,35.1333,140.3,42.8,17.27
rock sound,84,MG,1612471765,88,-22.8167,47.8333,78.24,9.24
rock sound,1,TH,1612471886,88,17.1612,104.1472,60.93,6.4
rock sound,100,UA,1612471886,100,46.9136,36.8253,41.0,14.0
rock sound,9,IN,1612471886,31,27.9167,96.1667,60.71,4.27
rock sound,20,BR,1612471886,56,-28.3928,-49.3967,79.66,3.98
rock sound,20,MY,1612471887,73,5.3991,100.3638,77.0,2.3
rock sound,22,US,1612471887,19,26.9298,-82.0454,68.0,4.0
rock sound,90,US,1612471887,72,29.6994,-91.2068,68.0,12.66
rock sound,0,BR,1612471887,73,-30.9828,-54.6731,71.89,11.88
rock sound,19,CN,1612471887,83,41.7597,86.1469,25.95,3.29
rock sound,71,ML,1612471887,18,20.1986,1.0114,72.27,14.34
rock sound,40,BJ,1612471874,84,6.4965,2.6036,86.0,12.66
rock sound,34,NZ,1612471887,68,-46.2817,169.8464,55.99,13.0
rock sound,96,RU,1612471887,95,56.9514,90.6661,6.12,5.48
rock sound,13,SO,1612471887,35,9.4092,45.064,60.39,1.23
rock sound,45,CN,1612471887,68,39.8167,98.3,23.34,0.85
rock sound,0,YE,1612471887,56,14.4,46.4667,58.73,3.69
rock sound,75,NO,1612471888,86,70.9821,25.9704,30.2,18.41
rock sound,100,ID,1612471888,76,-0.8833,131.25,81.36,8.28
rock sound,90,GB,1612471888,93,57.4667,-1.7833,35.6,21.85
rock sound,40,RU,1612471888,79,56.1681,92.6767,10.4,6.71
rock sound,0,TZ,1612471888,85,-5.2459,39.7666,77.34,7.38
rock sound,75,IS,1612471888,81,63.8424,-22.4338,37.4,26.46
rock sound,90,US,1612471888,60,21.3469,-158.0858,71.6,3.44
rock sound,100,LY,1612471705,59,32.3754,15.0925,63.91,10.74
rock sound,20,GR,1612471888,93,38.2,21.7,57.99,3.36
rock sound,0,MT,1612471888,94,35.8419,14.5431,60.01,8.05
